YEAR,ORIGIN_STATE_NM,DEST_STATE_NM,TOTAL_FLIGHTS
2013,Florida,South Carolina,855
2013,Florida,Tennessee,9187
2013,Florida,Texas,29118
2013,Florida,Utah,1386
2013,Florida,Virginia,17999
2013,Florida,Washington,1667
2013,Florida,Wisconsin,4510
2013,Georgia,Alabama,16646
2013,Georgia,Alaska,134
2013,Georgia,Arizona,8632
2013,Georgia,Arkansas,8072
2013,Georgia,California,17240
2013,Georgia,Colorado,10361
2013,Georgia,Connecticut,4557
2013,Georgia,Florida,74004
2013,Georgia,Georgia,10840
2013,Georgia,Hawaii,730
2013,Georgia,Illinois,24684
2013,Georgia,Indiana,11630
2013,Georgia,Iowa,3103
2013,Georgia,Kansas,4127
2013,Georgia,Kentucky,11149
2013,Georgia,Louisiana,20768
2013,Georgia,Maine,1464
2013,Georgia,Maryland,13884
2013,Georgia,Massachusetts,10925
2013,Georgia,Michigan,12495
2013,Georgia,Minnesota,11104
2013,Georgia,Mississippi,8482
2013,Georgia,Missouri,13793
2013,Georgia,Montana,177
2013,Georgia,Nebraska,3279
2013,Georgia,Nevada,8470
2013,Georgia,New Hampshire,1014
2013,Georgia,New Jersey,11066
2013,Georgia,New Mexico,921
2013,Georgia,New York,25058
2013,Georgia,North Carolina,34229
2013,Georgia,North Dakota,4
2013,Georgia,Ohio,14744
2013,Georgia,Oklahoma,5443
2013,Georgia,Oregon,2490
2013,Georgia,Pennsylvania,20438
2013,Georgia,Rhode Island,2082
2013,Georgia,South Carolina,15293
2013,Georgia,South Dakota,149
2013,Georgia,Tennessee,20396
2013,Georgia,Texas,36161
2013,Georgia,Utah,5308
2013,Georgia,Vermont,415
2013,Georgia,Virginia,30768
2013,Georgia,Washington,5547
2013,Georgia,West Virginia,3016
2013,Georgia,Wisconsin,9812
2013,Georgia,Wyoming,108
2013,Hawaii,Alaska,759
2013,Hawaii,Arizona,3519
2013,Hawaii,California,20841
2013,Hawaii,Colorado,1036
2013,Hawaii,Georgia,730
2013,Hawaii,Hawaii,34013
2013,Hawaii,Illinois,937
2013,Hawaii,Nevada,1712
2013,Hawaii,New Jersey,730
2013,Hawaii,New York,684
2013,Hawaii,Oregon,2248
2013,Hawaii,Texas,2178
2013,Hawaii,Utah,716
2013,Hawaii,Washington,5595
2013,Idaho,Arizona,2453
2013,Idaho,California,3698
2013,Idaho,Colorado,5752
2013,Idaho,Idaho,1
2013,Idaho,Illinois,366
2013,Idaho,Minnesota,1304
2013,Idaho,Nevada,1432
2013,Idaho,Oregon,425
2013,Idaho,Utah,9973
2013,Illinois,Alabama,3817
2013,Illinois,Alaska,1296
2013,Illinois,Arizona,12012
2013,Illinois,Arkansas,9364
2013,Illinois,California,32530
2013,Illinois,Colorado,17134
2013,Illinois,Connecticut,6294
2013,Illinois,Florida,21664
2013,Illinois,Georgia,24684
2013,Illinois,Hawaii,937
2013,Illinois,Idaho,366
2013,Illinois,Illinois,6693
2013,Illinois,Indiana,8602
2013,Illinois,Iowa,12597
2013,Illinois,Kansas,6754
2013,Illinois,Kentucky,13266
2013,Illinois,Louisiana,3401
2013,Illinois,Maine,1246
2013,Illinois,Maryland,8143
2013,Illinois,Massachusetts,15335
2013,Illinois,Michigan,28202
2013,Illinois,Minnesota,19449
2013,Illinois,Mississippi,1056
2013,Illinois,Missouri,15766
2013,Illinois,Montana,283
2013,Illinois,Nebraska,9676
2013,Illinois,Nevada,9903
2013,Illinois,New Hampshire,2371
2013,Illinois,New Jersey,14348
2013,Illinois,New Mexico,748
2013,Illinois,New York,29559
2013,Illinois,North Carolina,18230
2013,Illinois,North Dakota,4642
2013,Illinois,Ohio,21210
2013,Illinois,Oklahoma,8120
2013,Illinois,Oregon,5283
2013,Illinois,Pennsylvania,21310
2013,Illinois,Rhode Island,2292
2013,Illinois,South Carolina,4392
2013,Illinois,South Dakota,5643
2013,Illinois,Tennessee,17916
2013,Illinois,Texas,29743
2013,Illinois,Utah,6643
2013,Illinois,Vermont,934
2013,Illinois,Virginia,20397
2013,Illinois,Washington,10084
2013,Illinois,West Virginia,1336
2013,Illinois,Wisconsin,17303
2013,Illinois,Wyoming,526
2013,Indiana,Arizona,2885
2013,Indiana,California,704
2013,Indiana,Colorado,4366
2013,Indiana,Florida,6016
2013,Indiana,Georgia,11630
2013,Indiana,Illinois,8602
2013,Indiana,Maryland,2383
2013,Indiana,Massachusetts,22
2013,Indiana,Michigan,8956
2013,Indiana,Minnesota,4993
2013,Indiana,Nevada,1937
2013,Indiana,New Jersey,2655
2013,Indiana,New York,1499
2013,Indiana,North Carolina,2289
2013,Indiana,Ohio,930
2013,Indiana,Pennsylvania,323
2013,Indiana,Texas,7016
2013,Indiana,Utah,730
2013,Iowa,Arizona,1474
2013,Iowa,Colorado,4551
2013,Iowa,Georgia,3103
2013,Iowa,Illinois,12597
2013,Iowa,Michigan,4118
2013,Iowa,Minnesota,5208
2013,Iowa,Missouri,7
2013,Iowa,Nevada,188
2013,Iowa,New Jersey,819
2013,Iowa,North Carolina,977
2013,Iowa,Texas,6061
2013,Kansas,California,486
2013,Kansas,Colorado,1790
2013,Kansas,Georgia,4127
2013,Kansas,Illinois,6754
2013,Kansas,Minnesota,2246
2013,Kansas,Nevada,426
2013,Kansas,Texas,6864
2013,Kentucky,Arizona,491
2013,Kentucky,California,1760
2013,Kentucky,Colorado,2204
2013,Kentucky,Connecticut,1491
2013,Kentucky,Florida,4859
2013,Kentucky,Georgia,11149
2013,Kentucky,Illinois,13266
2013,Kentucky,Louisiana,587
2013,Kentucky,Maryland,2773
2013,Kentucky,Massachusetts,2420
2013,Kentucky,Michigan,6279
2013,Kentucky,Minnesota,5683
2013,Kentucky,Missouri,2888
2013,Kentucky,Nebraska,2
2013,Kentucky,Nevada,965
2013,Kentucky,New Jersey,6256
2013,Kentucky,New York,2013
2013,Kentucky,North Carolina,4967
2013,Kentucky,Ohio,667
2013,Kentucky,Pennsylvania,3107
2013,Kentucky,Tennessee,2252
2013,Kentucky,Texas,10104
2013,Kentucky,Utah,1381
2013,Kentucky,Virginia,3411
2013,Kentucky,Washington,431
2013,Kentucky,Wisconsin,1930
2013,Louisiana,Alabama,543
2013,Louisiana,Arizona,732
2013,Louisiana,California,3170
2013,Louisiana,Colorado,3853
