YEAR,MONTH,STATE,TOTAL_FLIGHTS
2013,5,Kansas,958,0
2013,5,Kentucky,3814,0
2013,5,Louisiana,3983,0
2013,5,Maine,646,0
2013,5,Maryland,8913,0
2013,5,Massachussets,9583,0
2013,5,Michigan,14262,0
2013,5,Minnesota,12280,0
2013,5,Mississippi,829,0
2013,5,Missouri,4985,0
2013,5,Montana,246,0
2013,5,Nebraska,1917,0
2013,5,Nevada,12263,0
2013,5,New Hampshire,836,0
2013,5,New Jersey,10592,0
2013,5,New Mexico,0
2013,5,New York,11497,0
2013,5,North Carolina,12708,0
2013,5,North Dakota,545,0
2013,5,Ohio,3971,0
2013,5,Oklahoma,2043,0
2013,5,Oregon,4307,0
2013,5,Pennsylvania,6862,0
2013,5,Rhode Island,1409,0
2013,5,South Carolina,1600,0
2013,5,South Dakota,632,0
2013,5,Tennessee,5270,0
2013,5,Texas,24713,0
2013,5,Utah,9379,0
2013,5,Vermont,535,0
2013,5,Virginia,6481,0
2013,5,Washington,8858,0
2013,5,West Virginia,314,0
2013,5,Wisconsin,3087,0
2013,5,Wyoming,159,0
2013,6,Alabama,1405,0
2013,6,Alaska,2029,0
2013,6,Arizona,15251,0
2013,6,Arkansas,1361,0
2013,6,California,19781,0
2013,6,Colorado,19572,0
2013,6,Connecticut,1881,0
2013,6,Florida,9843,0
2013,6,Georgia,34445,0
2013,6,Hawaii,4638,0
2013,6,Idaho,898,0
2013,6,Illinois,27233,0
2013,6,Indiana,2697,0
2013,6,Iowa,1353,0
2013,6,Kansas,1025,0
2013,6,Kentucky,3550,0
2013,6,Louisiana,3754,0
2013,6,Maine,658,0
2013,6,Maryland,8890,0
2013,6,Massachussets,9745,0
2013,6,Michigan,14680,0
2013,6,Minnesota,13064,0
2013,6,Mississippi,824,0
2013,6,Missouri,4942,0
2013,6,Montana,392,0
2013,6,Nebraska,1926,0
2013,6,Nevada,11899,0
2013,6,New Hampshire,944,0
2013,6,New Jersey,10175,0
2013,6,New Mexico,0
2013,6,New York,11631,0
2013,6,North Carolina,12484,0
2013,6,North Dakota,569,0
2013,6,Ohio,3997,0
2013,6,Oklahoma,2095,0
2013,6,Oregon,4713,0
2013,6,Pennsylvania,6919,0
2013,6,Rhode Island,1373,0
2013,6,South Carolina,1460,0
2013,6,South Dakota,638,0
2013,6,Tennessee,5146,0
2013,6,Texas,24172,0
2013,6,Utah,9981,0
2013,6,Vermont,624,0
2013,6,Virginia,6149,0
2013,6,Washington,9809,0
2013,6,West Virginia,314,0
2013,6,Wisconsin,3029,0
2013,6,Wyoming,274,0
2013,7,Alabama,1419,0
2013,7,Alaska,2207,0
2013,7,Arizona,15438,0
2013,7,Arkansas,1340,0
2013,7,California,20792,0
2013,7,Colorado,20249,0
2013,7,Connecticut,1815,0
2013,7,Delaware,62,0
2013,7,Florida,10205,0
2013,7,Georgia,35555,0
2013,7,Hawaii,4820,0
2013,7,Idaho,904,0
2013,7,Illinois,27980,0
2013,7,Indiana,2680,0
2013,7,Iowa,1425,0
2013,7,Kansas,1061,0
2013,7,Kentucky,3668,0
2013,7,Louisiana,3721,0
2013,7,Maine,761,0
2013,7,Maryland,9134,0
2013,7,Massachussets,10288,0
2013,7,Michigan,15246,0
2013,7,Minnesota,13756,0
2013,7,Mississippi,841,0
2013,7,Missouri,5106,0
2013,7,Montana,524,0
2013,7,Nebraska,2052,0
2013,7,Nevada,12114,0
2013,7,New Hampshire,936,0
2013,7,New Jersey,10475,0
2013,7,New Mexico,0
2013,7,New York,12304,0
2013,7,North Carolina,13370,0
2013,7,North Dakota,600,0
2013,7,Ohio,3917,0
2013,7,Oklahoma,2114,0
2013,7,Oregon,5031,0
2013,7,Pennsylvania,7171,0
2013,7,Rhode Island,1379,0
2013,7,South Carolina,1513,0
2013,7,South Dakota,654,0
2013,7,Tennessee,5280,0
2013,7,Texas,25017,0
2013,7,Utah,10334,0
2013,7,Vermont,606,0
2013,7,Virginia,6276,0
2013,7,Washington,10464,0
2013,7,West Virginia,341,0
2013,7,Wisconsin,3160,0
2013,7,Wyoming,442,0
2013,8,Alabama,1416,0
2013,8,Alaska,2183,0
2013,8,Arizona,14944,0
2013,8,Arkansas,1347,0
2013,8,California,20395,0
2013,8,Colorado,20023,0
2013,8,Connecticut,1911,0
2013,8,Delaware,63,0
2013,8,Florida,9248,0
2013,8,Georgia,35099,0
2013,8,Hawaii,4734,0
2013,8,Idaho,914,0
2013,8,Illinois,27708,0
2013,8,Indiana,2622,0
2013,8,Iowa,1376,0
2013,8,Kansas,1084,0
2013,8,Kentucky,3610,0
2013,8,Louisiana,3487,0
2013,8,Maine,710,0
2013,8,Maryland,8861,0
2013,8,Massachussets,10396,0
2013,8,Michigan,15261,0
2013,8,Minnesota,13673,0
2013,8,Mississippi,813,0
2013,8,Missouri,4960,0
2013,8,Montana,528,0
2013,8,Nebraska,2055,0
2013,8,Nevada,12033,0
2013,8,New Hampshire,901,0
2013,8,New Jersey,10359,0
2013,8,New Mexico,0
2013,8,New York,12123,0
2013,8,North Carolina,13200,0
2013,8,North Dakota,573,0
2013,8,Ohio,3914,0
2013,8,Oklahoma,2058,0
2013,8,Oregon,4991,0
2013,8,Pennsylvania,7112,0
2013,8,Rhode Island,1352,0
2013,8,South Carolina,1474,0
2013,8,South Dakota,649,0
2013,8,Tennessee,5096,0
2013,8,Texas,24900,0
2013,8,Utah,10383,0
2013,8,Vermont,560,0
2013,8,Virginia,6364,0
2013,8,Washington,10273,0
2013,8,West Virginia,341,0
2013,8,Wisconsin,3074,0
2013,8,Wyoming,443,0
2013,9,Alabama,1322,0
2013,9,Alaska,1598,0
2013,9,Arizona,13699,0
2013,9,Arkansas,1245,0
2013,9,California,18402,0
